antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"('22746',)","('22745',)",0.012783925451368666,0.015375655212580082,0.010658124635993011,0.8337129840546698,54.22292400082833,0.01046156340598944,5.9212340734476365,0.9942682671481716
"('22748',)","('22746',)",0.016977285963890507,0.012783925451368666,0.011327897495631916,0.6672384219554031,52.193547630862284,0.011110861137502972,2.9667369662982064,0.9977801424105278
"('22748',)","('22745',)",0.016977285963890507,0.015375655212580082,0.013104251601630751,0.7718696397941681,50.20076407297677,0.012843214706204595,4.316060097827563,0.9970064480453436
"('21094',)","('21086', '21080')",0.01956901572510192,0.011473500291205592,0.010075713453698312,0.5148809523809524,44.87566473289824,0.009851188346077748,2.037698796945736,0.9972310373789351
"('21240',)","('21239',)",0.016278392545136865,0.015608619685497961,0.011124053581828771,0.6833631484794276,43.78113902758124,0.010869970343500485,3.1088970711627497,0.9933289120824602
"('21900',)","('21899',)",0.018200349446709375,0.014472917880023296,0.011269656377402446,0.6192,42.78335613682093,0.011006244214472494,2.588043808088174,0.9947308741269058
"('23301',)","('23300',)",0.017792661619103086,0.01485148514851485,0.01094933022714036,0.6153846153846154,41.43589743589744,0.0106850827773517,2.5613861386138614,0.993544131163094
"('21094',)","('21086',)",0.01956901572510192,0.017472335468841003,0.013715783343040187,0.7008928571428572,40.11443452380953,0.013373866935496182,3.284868609775816,0.9945333564389328
"('22577',)","('22578',)",0.017705299941758883,0.015608619685497961,0.01100757134536983,0.6217105263157894,39.83123036135113,0.010731216052161248,2.60221721404877,0.9924659798963131
"('21901',)","('21900',)",0.015928945835760048,0.018200349446709375,0.011444379732090856,0.7184643510054844,39.47530530164534,0.011154467351562317,3.487301356186039,0.9904444428882957
