x,y,z,a,b,c,d,Is_Falling
4.863426104,10.50708946,11.38423109,0,0,1,0,0
4.886984443,10.45664242,11.05547821,0,1,0,0,0
4.887228801,10.43129342,10.98308207,1,0,0,0,0
4.898048426,10.47300786,11.25356855,0,0,1,0,0
4.870529917,10.47506941,11.36099988,0,0,0,1,0
4.871737416,10.48477614,11.34090758,0,1,0,0,0
4.877898166,10.49203458,11.3640198,1,0,0,0,0
4.87151453,10.48677198,11.36951612,0,0,1,0,0
4.857610456,10.54363523,10.99971782,0,1,0,0,0
4.85801201,10.50353744,10.93987739,1,0,0,0,0
4.85873925,10.52601334,11.19662512,0,0,1,0,0
4.814788088,10.52337674,11.32108005,0,0,0,1,0
4.839176134,10.4895107,11.3430374,0,1,0,0,0
4.842395352,10.5032686,11.35176459,1,0,0,0,0
4.839270168,10.49927829,11.36406982,0,0,1,0,0
4.84127662,10.4671991,11.06740887,0,1,0,0,0
4.833472897,10.42433057,11.03935534,1,0,0,0,0
4.8559419,10.43752934,11.32605614,0,0,1,0,0
4.828964333,10.42085755,11.42281024,0,0,0,1,0
4.789559504,10.49339645,11.37365652,0,1,0,0,0
4.813304838,10.51384189,11.36527206,1,0,0,0,0
4.813259486,10.52217009,11.36607916,0,0,1,0,0
4.833533201,10.49056008,11.00713976,1,0,0,0,0
4.809077812,10.51514807,11.23134923,0,0,1,0,0
4.775604752,10.49954039,11.64369043,0,0,0,1,0
4.773590411,10.51655389,11.44980895,0,1,0,0,0
4.770436079,10.50017732,11.42252297,1,0,0,0,0
4.767783467,10.50292068,11.72041938,0,0,1,0,0
4.7501474,10.53701946,11.50986279,0,1,0,0,0
4.769492992,10.4982183,11.14405083,1,0,0,0,0
4.763847744,10.47682367,11.36047384,0,0,1,0,0
4.757456313,10.46170658,11.74216596,0,0,0,1,0
4.736996844,10.54712984,11.49828315,0,1,0,0,0
4.615437087,10.85252414,11.93855751,1,0,0,0,0
4.613397282,10.85473046,12.19839605,0,0,1,0,0
4.577848526,10.89435361,11.96258332,0,1,0,0,0
4.629014047,10.84798102,11.59432577,1,0,0,0,0
4.607033523,10.8030289,11.7966591,0,0,1,0,0
4.601163322,10.7836934,12.17591186,0,0,0,1,0
4.591159114,10.84146851,11.96200947,0,1,0,0,0
4.640853444,10.74871022,11.91551432,1,0,0,0,0
4.970555184,10.8096951,12.14893025,0,1,0,0,0
5.034001398,10.82608272,11.9043167,1,0,0,0,0
5.049461309,10.79350191,11.84071931,0,0,1,0,0
5.075130291,10.71696357,12.16987549,0,0,0,1,0
5.051881138,10.76282266,12.22932449,0,1,0,0,0
5.105855783,10.72820958,11.97292646,1,0,0,0,0
5.110172616,10.69848979,12.25958863,0,0,1,0,0
5.10356803,10.74955492,12.05388475,0,1,0,0,0
5.205572443,10.83126919,11.71293315,1,0,0,0,0
5.217479679,10.76403958,11.93168182,0,0,1,0,0
5.220947247,10.76800448,12.24900968,0,0,0,1,0
5.222362409,10.83965746,12.07808396,0,1,0,0,0
5.304144671,10.85857551,12.08619953,1,0,0,0,0
5.318041848,10.85218876,12.35699057,0,0,1,0,0
5.327611822,10.92738681,12.18656912,0,1,0,0,0
5.44803075,10.92889354,11.87341735,1,0,0,0,0
5.48923634,10.79307574,12.12985433,0,0,1,0,0
5.671278011,10.40506527,12.02148539,0,0,0,1,0
5.668407153,10.46400203,11.84552642,0,1,0,0,0
5.775496124,10.47062946,11.88328165,1,0,0,0,0
5.786326626,10.47254201,12.13824198,0,0,1,0,0
5.797379472,10.54530266,11.9435905,0,1,0,0,0
5.881009146,10.6392545,11.6443939,1,0,0,0,0
5.930849465,10.54629255,11.84495048,0,0,1,0,0
5.923167767,10.62803582,12.15995637,0,0,0,1,0
5.608136221,10.59618955,11.95187836,0,1,0,0,0
5.599773983,10.63944468,12.0099665,1,0,0,0,0
5.620150814,10.70128956,11.96495194,0,0,1,0,0
5.606462635,10.76214346,11.70451038,0,1,0,0,0
5.690792397,10.7488196,11.70295665,1,0,0,0,0
5.662283677,10.79728577,11.93817769,0,0,1,0,0
5.702036713,10.83917024,11.9673274,0,0,0,1,0
5.676916054,10.77405465,11.99868097,0,1,0,0,0
5.670050079,10.74405163,12.01798345,1,0,0,0,0
5.684322545,10.81832207,11.97650662,0,0,1,0,0
5.671384541,10.83677094,11.70124725,0,1,0,0,0
5.743965846,10.78309201,11.6304575,1,0,0,0,0
5.708689344,10.75927117,11.82276977,0,0,1,0,0
5.717436839,10.85299848,11.86220916,0,0,0,1,0
5.763446171,10.74675319,11.75020518,0,1,0,0,0
5.712916465,10.85777862,11.81003042,1,0,0,0,0
5.721082627,10.93130901,11.78424895,0,0,1,0,0
5.789125346,10.98331265,11.59029679,0,1,0,0,0
5.889906433,10.97723153,11.69793496,0,0,1,0,0
5.881676093,10.93536052,11.97416319,0,0,0,1,0
5.977440343,11.02817763,11.82635246,0,1,0,0,0
6.043228426,11.09019242,11.85025642,1,0,0,0,0
6.083442683,11.09365071,12.00547824,0,0,1,0,0
6.141662212,11.09716346,11.8750287,0,1,0,0,0
6.161966622,11.18008837,11.64027651,1,0,0,0,0
6.230743809,11.15977376,11.8603658,0,0,1,0,0
6.244104013,11.10549703,12.11935884,0,0,0,1,0
6.329014493,11.06182005,11.98499922,0,1,0,0,0
6.377780311,11.11649729,11.97759631,1,0,0,0,0
6.432369453,11.08751574,12.16756309,0,0,1,0,0
6.519490116,11.05293374,12.05222831,0,1,0,0,0
6.557343655,11.08062153,11.79972623,1,0,0,0,0
6.699728604,11.05200492,11.98942821,0,0,1,0,0
6.762339467,11.02784102,12.27130522,0,0,0,1,0
6.858203774,11.00785843,12.08253845,0,1,0,0,0
6.980901963,11.00083846,12.01546552,0,1,0,0,0
6.982508986,11.09095072,11.99987047,1,0,0,0,0
7.109229668,11.07029079,11.95454926,0,0,1,0,0
7.22097285,10.99028465,11.99036454,0,0,0,1,0
7.302280273,10.97478065,11.93428165,0,1,0,0,0
7.364487573,10.92000322,11.87244486,1,0,0,0,0
7.425505397,10.90270942,11.64056894,0,1,0,0,0
7.498054932,10.83703979,11.56015834,1,0,0,0,0
7.550144301,10.76673887,11.60303276,0,0,1,0,0
7.642961279,10.75531172,11.61756262,0,0,0,1,0
7.638895914,10.69167651,11.58446328,0,1,0,0,0
7.777708264,10.56589338,11.54585743,1,0,0,0,0
7.825875528,10.49143462,11.57661024,0,0,1,0,0
7.842136919,10.52463929,11.51437725,0,1,0,0,0
8.010255902,10.41530934,11.46104778,1,0,0,0,0
8.11777697,10.3729924,11.41619489,0,0,1,0,0
8.20486728,10.37525472,11.42165264,0,0,0,1,0
8.247957709,10.44431369,11.46094293,0,1,0,0,0
8.436844804,10.33610721,11.45588619,1,0,0,0,0
8.50529229,10.34202678,11.45658198,0,0,1,0,0
8.495844436,10.32380306,11.43867855,0,1,0,0,0
8.644332228,10.2744203,11.44024839,1,0,0,0,0
8.73813637,10.32132081,11.39813368,0,0,1,0,0
8.806514269,10.31458085,11.43820181,0,0,0,1,0
8.793611956,10.32125014,11.43995448,0,1,0,0,0
8.891992218,10.28961116,11.4739229,1,0,0,0,0
9.030307656,10.22604079,11.69626428,0,0,1,0,0
9.012957154,10.17412533,11.6233535,0,1,0,0,0
9.107502543,10.13385024,11.30020138,1,0,0,0,0
9.19605945,10.23441792,11.61857434,0,0,1,0,0
9.272686609,10.21904606,11.93583131,0,0,0,1,0
9.33773439,10.27284543,12.04999763,0,1,0,0,0
9.389922353,10.24623284,12.03584333,1,0,0,0,0
9.490183568,10.35727331,12.08995514,0,0,1,0,0
9.519029594,10.40153423,11.786611,0,1,0,0,0
9.634607246,10.40791456,11.71838097,1,0,0,0,0
9.661261562,10.46856636,11.91950312,0,0,1,0,0
9.724542714,10.54102875,12.08317909,0,0,0,1,0
9.795503863,10.5128103,12.07845254,0,1,0,0,0
9.818000574,10.54160959,12.09445977,1,0,0,0,0
9.880854637,10.58406047,12.12830469,0,0,1,0,0
9.936813602,10.62101596,11.8920003,0,1,0,0,0
10.05163524,10.59164458,11.82940723,1,0,0,0,0
10.06543286,10.64154842,12.05299645,0,0,1,0,0
10.12283879,10.69150584,12.19776746,0,0,0,1,0
10.27957799,10.75201486,12.18794758,0,1,0,0,0
10.27872141,10.74065554,12.15875812,1,0,0,0,0
10.33099034,10.77897411,12.20837984,0,0,1,0,0
10.40515757,10.84249633,11.9610414,0,1,0,0,0
10.52241885,10.79466449,11.94411262,1,0,0,0,0
10.56228002,10.8996977,12.22707552,0,0,1,0,0
10.6142091,10.92607085,12.35607515,0,0,0,1,0
10.72944907,11.02396078,12.3736391,0,1,0,0,0
10.72341323,11.06241864,12.43364142,1,0,0,0,0
10.77151818,11.07863015,12.4569333,0,0,1,0,0
10.83960625,11.10441881,12.2634102,0,1,0,0,0
10.86941299,11.05327892,12.19276988,1,0,0,0,0
10.92075428,11.14154914,12.42187997,0,0,1,0,0
10.95979,11.12609659,12.48070733,0,0,0,1,0
11.01888093,11.15164066,12.57243764,0,1,0,0,0
10.98567612,11.05186347,12.6446839,1,0,0,0,0
11.03603823,11.06663547,12.63816861,0,0,1,0,0
11.06366256,11.07518164,12.36928653,0,1,0,0,0
11.16660475,11.24595514,12.47496105,1,0,0,0,0
11.21917636,11.30966343,12.65635927,0,0,1,0,0
11.2943943,11.35614209,12.7413164,0,0,0,1,0
11.3471554,11.43906375,12.75830267,0,1,0,0,0
11.41168106,11.52046946,12.73534045,1,0,0,0,0
11.48689229,11.57594089,12.65147425,0,0,1,0,0
11.51863133,11.61611491,12.3823397,0,1,0,0,0
11.60520869,11.68681941,12.35764832,1,0,0,0,0
11.69763472,11.8014322,12.56657279,0,0,1,0,0
11.7615024,11.82830928,12.62870891,0,0,0,1,0
11.78717055,11.8957015,12.62348495,0,1,0,0,0
11.94439648,12.05614341,12.66131731,1,0,0,0,0
12.0106099,12.09096958,12.61454586,0,0,1,0,0
12.01740823,12.12432412,12.36548507,0,1,0,0,0
12.1471106,12.22739886,12.23593899,1,0,0,0,0
12.25254167,12.35688445,12.40208704,0,0,1,0,0
12.23923187,12.34148174,12.28062884,0,1,0,0,0
12.36149111,12.44579223,12.17043073,1,0,0,0,0
12.50623247,12.54420924,12.36500427,0,0,1,0,0
12.51636157,12.59249519,12.19979621,0,1,0,0,0
12.56983215,12.61660636,11.89798266,1,0,0,0,0
12.66711812,12.68220357,12.03371829,0,0,1,0,0
12.8086743,12.92676863,12.32333719,0,0,0,1,0
12.82050122,12.90394297,12.14497475,0,1,0,0,0
12.88879111,12.93331078,12.02028285,1,0,0,0,0
12.95480007,12.93211146,12.14079007,0,0,1,0,0
12.99474156,13.01466934,11.98249218,0,1,0,0,0
13.00654765,13.02720638,11.64403608,1,0,0,0,0
13.08835019,13.04426941,11.79917568,0,0,1,0,0
13.12272508,13.1003682,12.13401455,0,0,0,1,0
13.16411301,13.13041475,12.0183527,0,1,0,0,0
13.25801733,13.16603879,12.19449503,0,0,1,0,0
13.2446584,13.18026844,12.14584391,0,1,0,0,0
13.34077005,13.21594341,11.97120773,1,0,0,0,0
13.37427068,13.29088558,11.89672173,0,0,1,0,0
13.46178664,13.33424177,12.14247337,0,0,0,1,0
13.43718181,13.35093113,12.10099597,0,1,0,0,0
13.45946783,13.43831925,11.89693777,1,0,0,0,0
13.53947948,13.51505733,12.05287552,0,0,1,0,0
13.52937551,13.48508335,12.07353785,0,1,0,0,0
13.54924605,13.62372738,11.92748685,1,0,0,0,0
13.67960196,13.72786913,12.00746078,0,0,1,0,0
13.67870451,13.74329506,12.3119736,0,0,0,1,0
13.73336312,13.76875526,12.12036238,0,1,0,0,0
13.81404589,13.88280092,12.07851962,1,0,0,0,0
13.84677743,13.94471613,12.26535006,0,0,1,0,0
13.88719639,13.95074787,12.04814654,0,1,0,0,0
13.86308892,13.97588608,11.64099174,1,0,0,0,0
13.98954262,14.14257617,11.78901684,0,0,1,0,0
14.07313765,14.21033744,12.15401962,0,0,0,1,0
14.10463378,14.19716327,11.92783364,0,1,0,0,0
14.12813022,14.25170335,11.82247353,1,0,0,0,0
14.23593802,14.35527622,12.03011875,0,0,1,0,0
14.25723257,14.34721758,11.77692406,0,1,0,0,0
14.22360646,14.43101529,11.42647566,1,0,0,0,0
14.27046394,14.47677441,11.62187677,0,0,1,0,0
14.32833296,14.49712587,11.67801329,0,0,0,1,0
14.38071438,14.52170972,11.69822012,0,1,0,0,0
14.30046586,14.6184853,11.70695771,1,0,0,0,0
14.36866112,14.62429668,11.67425209,0,0,1,0,0
14.37484072,14.58810173,11.33690949,0,1,0,0,0
14.423137,14.6522706,11.35886018,1,0,0,0,0
14.51330218,14.61707492,11.55117069,0,0,1,0,0
14.6080055,14.60467273,11.61468584,0,0,0,1,0
